"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.254187501E-2,-4.349024516E-1,2.375960532E0,-8.543284929E-1
2.257987500E-2,-3.274329668E-1,2.756134507E0,-5.110372925E-1
3.261787501E-2,-1.484637290E-1,2.711166202E0,-2.673113108E-1
4.265487501E-2,-7.547819853E-2,2.391957344E0,-3.023712158E-1
5.269287500E-2,-1.252704558E-1,1.773863673E0,-5.432437563E-1
6.273087501E-2,-3.143726259E-1,1.109387548E0,-7.157494819E-1
7.276787501E-2,-7.141996774E-1,5.924822822E-1,-7.257599151E-1
8.280587500E-2,-1.135415259E0,3.358968115E-1,-1.397887999E-1
9.284387501E-2,-1.098956115E0,3.902972594E-1,7.550936419E-1
1.028808750E-1,-4.936570287E-1,2.634091714E-1,1.446357908E0
1.129188750E-1,4.362929195E-2,-1.861870408E-1,2.618520579E0
1.229558750E-1,1.606598514E-1,-6.103654066E-1,3.058190265E0
1.329938750E-1,2.607986820E-1,-1.013752243E0,3.065988697E0
1.430318750E-1,4.373726079E-1,-1.231389118E0,2.675328033E0
1.530688750E-1,5.880650032E-1,-1.113476506E0,1.908933477E0
1.631068750E-1,5.119056040E-1,-6.704379460E-1,1.441277847E0
1.731448750E-1,4.542783701E-1,-5.776984745E-1,1.399284314E0
1.831818750E-1,9.963684708E-2,2.557724154E-1,2.485668916E-1
1.932198750E-1,-1.133058831E-1,7.148957884E-1,-3.145568132E-1
2.032578750E-1,-1.126743838E-1,1.095307014E0,-8.534631050E-1
2.132948750E-1,-5.826984286E-2,1.178862410E0,-1.046732293E0
2.233328750E-1,9.890155971E-2,7.820067675E-1,-9.273771733E-1
2.333708750E-1,4.396126762E-1,-4.571718648E-2,-3.510884625E-1
2.434078750E-1,7.870580310E-1,-9.648793142E-1,4.102862585E-1
2.534458750E-1,7.532286724E-1,-1.261467341E0,1.081066559E0
2.634828750E-1,5.289823973E-1,-1.056485741E0,1.250093191E0
2.735208750E-1,2.823304689E-1,-8.290346074E-1,1.241425279E0
2.835588750E-1,2.174330994E-1,-7.730388929E-1,1.214264377E0
2.935958750E-1,6.323909909E-2,-1.031624258E0,1.214836235E0
3.036338750E-1,6.592326343E-2,-1.255458158E0,9.207516932E-1
3.136718750E-1,-1.040462324E-1,-1.332423157E0,7.793455535E-1
3.237088750E-1,-4.143980205E-1,-1.133638875E0,4.104821402E-1
3.337468750E-1,-4.750273611E-1,-1.001318724E0,-3.817892683E-1
3.437848750E-1,-4.968993098E-1,-7.353765383E-1,-9.571856940E-1
3.538218750E-1,-4.300774755E-1,-3.815519444E-1,-1.557990611E0
3.638598750E-1,-4.488645793E-1,-1.842653534E-1,-2.125703210E0
3.738978750E-1,-6.853753893E-1,-1.815909100E-1,-2.234801729E0
3.839348750E-1,-9.586463284E-1,-1.493924861E-1,-1.641375999E0
3.939728750E-1,-1.033968699E0,-1.922028755E-1,-1.005955566E0
4.040120833E-1,-7.736078270E-1,-4.745690855E-1,-6.389217460E-1
4.140490833E-1,-2.113990653E-1,-6.473417366E-1,-2.208762324E-1
4.240870833E-1,4.320222594E-1,-6.168384205E-1,4.575995886E-1
4.341240833E-1,2.213068798E-1,-4.651879589E-1,1.544485881E0
4.441620833E-1,-1.062289980E-1,-7.439961382E-1,1.751445156E0
4.542000833E-1,-1.812746488E-1,-1.370655761E0,1.575542198E0
4.642370833E-1,-2.872763363E-1,-1.280420945E0,1.062582341E0
4.742750833E-1,-3.852809331E-1,-9.557843357E-1,-2.431465226E-1
4.843130833E-1,-9.677141905E-1,-7.088535681E-1,-1.462968678E0
4.943500833E-1,-1.717290838E0,-5.735313832E-1,-2.514309162E0
5.043880833E-1,-1.930484414E0,-5.247201426E-1,-3.588512260E0
5.144260833E-1,-2.215861721E0,-2.712894639E-1,-3.005530241E0
5.244630833E-1,-2.293267454E0,-3.335778423E-1,-1.643773942E0
5.345010833E-1,-2.030806993E0,-3.244896246E-1,-9.305984044E-1
5.445390833E-1,-1.791718731E0,1.466262415E-3,-6.440854222E-1
5.545760833E-1,-1.496247229E0,3.228053342E-1,-9.577856183E-1
5.646140833E-1,-1.283737485E0,4.568475636E-1,-1.596952947E0
5.746510833E-1,-1.090769867E0,2.233077239E-1,-1.934567671E0
5.846890833E-1,-7.155454141E-1,-9.485367849E-2,-1.591761205E0
5.947270833E-1,1.854831822E-1,-6.194198931E-1,6.095232321E0
6.047640833E-1,1.902510603E0,-5.104033812E-1,3.662176067E0
6.148020833E-1,1.761184863E0,3.495052557E-1,3.440958942E0
6.248400833E-1,1.113334419E0,1.059809080E0,2.449274676E0
6.348770833E-1,3.269073021E-1,1.269396312E0,1.467542955E0
6.449150833E-1,-5.237921163E-1,1.029780777E0,1.419116900E0
6.549530833E-1,-5.076426914E-1,8.023446992E-2,2.491690378E0
6.649900833E-1,4.833773312E-1,-1.413987722E0,3.069609293E0
6.750280833E-1,1.093627401E0,-1.960705748E0,4.024350851E0
6.850650833E-1,1.207944707E0,-1.917991984E0,4.158079011E0
6.951030833E-1,1.177543132E0,-1.747100090E0,3.200485182E0
7.051410833E-1,1.175743213E0,-1.194120573E0,1.551379749E0
7.151780833E-1,1.294648975E0,-3.456116679E-1,5.014770949E-1
7.252160833E-1,1.563452056E0,3.600901048E-1,2.910246938E-1
7.352540833E-1,1.915979372E0,6.894354035E-1,2.534469777E-1
7.452910833E-1,2.017148921E0,8.393625444E-1,5.292835289E-1
7.553290833E-1,1.998259637E0,1.029298089E0,6.192084432E-1
7.653670833E-1,1.846269160E0,1.120110172E0,3.901110256E-1
7.754040833E-1,1.516626676E0,8.805840991E-1,-2.211253238E-1
7.854420833E-1,1.264978887E0,2.174988806E-1,-8.800708598E-1
7.954800833E-1,1.620447645E0,-7.941898799E-1,-6.162421507E-1
8.055170833E-1,2.185029937E0,-1.783703952E0,6.089337158E-1
8.155550833E-1,2.303733824E0,-2.206706150E0,1.371531090E0
8.255920833E-1,2.074796035E0,-1.920129580E0,9.537451923E-1
8.356300833E-1,1.660687452E0,-1.189449233E0,-2.585106665E-1
8.456680833E-1,1.016113495E0,-3.237201311E-1,-1.406831900E0
8.557050833E-1,6.173849890E-1,1.452313882E-1,-3.249190149E0
8.657430833E-1,4.077571915E-1,4.335236782E-1,-4.785830237E0
8.757810833E-1,5.097300012E-1,6.787266666E-1,-5.330522933E0
8.858180833E-1,8.612983739E-1,9.564084528E-1,-4.234617310E0
8.958560833E-1,7.832124634E-1,1.060272106E0,-1.486869172E0
9.058940833E-1,4.856726557E-1,8.132465404E-1,-1.840937376E-1
9.159310833E-1,4.127290790E-1,5.003630541E-1,2.052898943E-1
9.259690833E-1,4.522220506E-1,1.770402414E-1,-5.224563199E-1
9.360060833E-1,5.847297513E-1,-9.421881706E-2,-1.847004447E0
9.460440833E-1,4.051177584E-1,-2.915294547E-1,-2.851343257E0
9.560820833E-1,7.341237724E-2,-1.505444607E-1,-2.978773382E0
9.661190833E-1,-3.224461690E-2,1.764786163E-1,-2.270811222E0
9.761570833E-1,8.278254032E-2,2.952025294E-1,-1.380354538E0
9.861950833E-1,3.994772418E-1,3.124947926E-1,-4.814860493E-1
9.962320833E-1,6.411911966E-1,3.318113619E-1,-9.119142115E-2
1.006270083E0,7.173668218E-1,5.272992763E-1,-1.641219878E-1
1.016308083E0,6.367152992E-1,5.492114246E-1,-7.961943054E-1
1.026345083E0,6.464510594E-1,4.369586250E-1,-2.643137941E0
1.036383083E0,3.609442368E-1,8.714815924E-1,-2.283352330E0
1.046420083E0,1.679945987E-1,1.357075603E0,-2.127472578E0
1.056458083E0,9.228967443E-2,1.268283294E0,-2.113407685E0
1.066496083E0,4.189386758E-1,1.920568267E0,-3.645101613E-1
1.076533083E0,8.518571672E-1,1.920643989E0,1.691997099E-1
1.086571083E0,9.196280777E-1,1.704535576E0,-1.093873715E-1
1.096609083E0,7.690265335E-1,1.540582865E0,-7.302535003E-1
1.106646083E0,3.285432800E-1,1.635755655E0,-4.538105929E-1
1.116684083E0,-8.214889218E-1,1.265350623E0,7.395488191E-1
1.126722083E0,-1.870400180E0,9.882238841E-1,2.194307422E0
1.136759083E0,-8.525674577E-1,6.718272445E-1,1.649524679E0
1.146797083E0,8.669017607E-1,5.442763746E-1,9.775977391E-1
1.156834083E0,9.495531772E-1,1.572340555E0,1.666787413E0
1.166872083E0,7.365745597E-1,2.123580963E0,1.582214456E0
1.176910083E0,4.136279422E-1,2.125944116E0,6.239265615E-1
1.186947083E0,-4.072231214E-1,2.238834846E0,2.396896487E-1
1.196985083E0,-1.078282480E0,2.223363698E0,7.166329962E-1
1.207023083E0,-1.039164754E0,1.521650458E0,1.795222090E0
1.217060083E0,-3.861903578E-1,3.429552779E-1,3.208921545E0
1.227098083E0,4.945121109E-1,-1.107594792E0,4.226982601E0
1.237135083E0,1.005380492E0,-2.013274702E0,4.629694376E0
1.247173083E0,1.008370612E0,-2.051028711E0,3.695928535E0
1.257211083E0,4.883189959E-1,-1.164105792E0,2.142516294E0
1.267248083E0,-3.174551684E-1,-1.906277087E-1,5.861944789E-1
1.277286083E0,-9.904043108E-1,6.339568752E-1,-8.238598216E-1
1.287324083E0,-1.387188764E0,1.237650901E0,-1.806739351E0
1.297361083E0,-1.592149460E0,1.428062555E0,-2.089268040E0
1.307399083E0,-1.577709322E0,1.008633298E0,-2.010710113E0
1.317437083E0,-1.599243302E0,1.022566921E0,-2.017709815E0
1.327474083E0,-9.163949329E-1,-9.458879963E-1,-6.103171670E-1
1.337512083E0,-7.587503444E-1,-1.772077349E0,-3.857408166E-2
1.347549083E0,-8.059967970E-1,-1.858758812E0,6.987773538E-2
1.357587083E0,-7.597046831E-1,-1.196001476E0,-1.630788445E-2
1.367625083E0,-7.923654024E-1,-3.771030173E-1,-9.681118011E-2
1.377662083E0,-8.510698396E-1,4.675375164E-2,-2.601718605E-2
1.387700083E0,-7.538900656E-1,-2.509470007E-1,3.263389528E-1
1.397738083E0,-4.872478591E-1,-1.015973015E0,4.908094347E-1
1.407774208E0,-3.653321702E-1,-1.613030159E0,1.778822404E-1
1.417812208E0,-4.667644048E-1,-1.543846488E0,-4.325074321E-1
1.427850208E0,-5.342012931E-1,-1.060378818E0,-1.144217657E0
