"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.908705711E-2,6.496040207E1,2.537798628E1,3.161769638E0,NaN,NaN,3.572050812E2,3.428330605E1
4.094260931E-1,6.496046999E1,2.537826282E1,3.109999895E0,NaN,NaN,1.071594520E2,3.000000000E1
6.262770891E-1,6.496054706E1,2.537851731E1,-7.767606735E0,9.499999881E-1,3.547265625E2,1.388203921E1,8.000000000E0
1.415274978E0,6.496056205E1,2.537846361E1,-6.999092102E0,9.900000095E-1,3.592968750E2,1.388768115E1,6.000000000E0
2.415267587E0,6.496059202E1,2.537842757E1,-1.152328491E0,9.900000095E-1,3.592968750E2,3.531200887E0,3.000000000E0
3.415259123E0,6.496060487E1,2.537842001E1,-1.037591934E0,1.059999943E0,3.592968750E2,3.534263854E0,3.000000000E0
4.415251493E0,6.496061274E1,2.537841878E1,-7.373027802E-1,1.059999943E0,3.592968750E2,3.535171566E0,3.000000000E0
5.415243864E0,6.496062123E1,2.537841644E1,-5.734291077E-1,7.699999809E-1,3.512109375E2,3.535429085E0,3.000000000E0
6.416699409E0,6.496062694E1,2.537841368E1,-3.194675446E-1,7.699999809E-1,3.512109375E2,3.516698576E0,3.000000000E0
7.416689634E0,6.496063115E1,2.537841105E1,-1.686534882E-1,5.000000000E-1,3.512109375E2,3.530010177E0,3.000000000E0
8.416653275E0,6.496063804E1,2.537841338E1,-1.098785400E-1,5.000000000E-1,3.515625000E2,3.533917302E0,3.000000000E0
9.416633129E0,6.496064852E1,2.537841717E1,1.089916229E-1,1.820000052E0,7.031250000E0,3.504610523E0,3.000000000E0
1.041660905E1,6.496066070E1,2.537842273E1,4.592094421E-1,1.820000052E0,4.570312500E0,3.333745568E0,3.000000000E0
1.141656494E1,6.496067172E1,2.537842587E1,6.731948853E-1,1.539999962E0,7.031250000E-1,3.439813698E0,3.000000000E0
1.241653907E1,6.496067872E1,2.537842319E1,3.294391632E-1,1.090000033E0,7.031250000E-1,3.490036760E0,3.000000000E0
1.341651392E1,6.496068826E1,2.537842239E1,3.294316940E-1,1.090000033E0,7.031252565E-1,3.004177263E0,4.029364438E0
1.441646957E1,6.496068437E1,2.537841793E1,3.218060229E-1,1.800000072E-1,NaN,3.602330422E0,4.029364438E0
1.541644561E1,6.496069458E1,2.537842142E1,5.435410533E-1,6.499999762E-1,7.031251530E-1,5.463560548E0,4.029364438E0
1.641642392E1,6.496071156E1,2.537841802E1,8.732473701E-1,1.409999967E0,3.571874987E2,4.894335644E0,4.029364438E0
1.741638196E1,6.496072280E1,2.537842347E1,8.541357378E-1,1.409999967E0,7.031253318E-1,4.837856082E0,4.029364438E0
1.841635978E1,6.496073825E1,2.537842847E1,1.368288271E0,1.450000048E0,2.109376024E0,4.536916016E0,4.029364438E0
1.941634405E1,6.496075311E1,2.537842569E1,1.852840672E0,1.509999990E0,3.575390613E2,4.611593235E0,4.029364438E0
